id,age,study_hours,attendance_pct,previous_score,city,study_mode,assignment_score,exam_score,final_score,passed_true,passed_pred,pass_prob
1,20,12.5,88,72,Adelaide,Online,68,74,72,1,1,0.82
2,21,10.0,91,72,Sydney,OnCampus,70,71,72,1,1,0.79
3,22,8.0,75,65,Melbourne,Hybrid,60,66,64,1,0,0.49
4,19,6.5,60,55,Adelaide,Online,58,54,55,0,0,0.28
5,23,,85,80,Perth,OnCampus,77,81,80,1,1,0.88
6,24,14.0,96,88,Brisbane,Hybrid,84,90,88,1,1,0.95
7,20,7.5,70,61,Sydney,Online,62,60,61,1,0,0.47
8,21,5.0,58,49,Adelaide,OnCampus,50,48,49,0,0,0.19
9,22,11.0,83,77,Melbourne,,78,76,77,1,1,0.84
10,23,9.0,79,69,Perth,Online,70,68,69,1,1,0.72
11,19,4.5,55,45,Brisbane,OnCampus,44,46,45,0,0,0.14
12,25,15.0,98,91,Adelaide,Hybrid,90,92,91,1,1,0.98
13,20,8.0,,65,Sydney,Online,63,67,65,1,1,0.63
14,21,8.0,75,65,Sydney,Online,64,66,65,1,1,0.61
15,22,8.0,75,65,Sydney,Online,65,65,65,1,0,0.5
16,23,3.5,40,38,Perth,OnCampus,35,41,38,0,0,0.08
17,24,16.0,99,94,Melbourne,Hybrid,92,96,94,1,1,0.99
18,20,12.5,88,72,Adelaide,Online,68,74,72,1,1,0.82
19,26,2.0,35,30,Brisbane,OnCampus,28,32,30,0,0,0.04
20,21,10.0,91,72,Sydney,OnCampus,71,70,72,1,1,0.8
21,22,13.0,89,82,Adelaide,Hybrid,81,83,82,1,1,0.9
22,,9.5,78,67,Perth,Online,66,68,67,1,1,0.69
23,20,1.5,30,25,Melbourne,OnCampus,20,30,25,0,1,0.52
24,27,17.5,100,96,Adelaide,Hybrid,95,97,96,1,1,0.995
25,19,6.0,63,,Brisbane,Online,55,57,56,0,0,0.33
26,25,11.5,86,78,,OnCampus,79,77,78,1,1,0.83
27,22,7.0,68,59,Perth,Hybrid,60,58,59,0,0,0.39
28,23,7.0,68,59,Perth,Hybrid,61,57,59,0,0,0.41
29,24,7.0,68,59,Perth,Hybrid,59,59,59,0,1,0.51
30,21,9.0,82,74,Sydney,Online,73,75,74,1,1,0.76
